"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Poland","POL","Mobile account, income, richest 60% (% ages 15+) [w2]","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Mobile account, income, poorest 40% (% ages 15+) [w2]","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Mobile account, female (% age 15+) [w2]","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Mobile account, male (% age 15+) [w2]","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Mobile account (% age 15+) [w2]","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Account at a financial institution, income, richest 60% (% ages 15+) [ts]","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.74534","","","82.79757","","",
"Poland","POL","Account at a financial institution, income, poorest 40% (% ages 15+) [ts]","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.86628","","","70.54193","","",
"Poland","POL","Account at a financial institution, female (% age 15+) [ts]","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.2872","","","72.95792","","",
"Poland","POL","Account at a financial institution, male (% age 15+) [ts]","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.37171","","","83.2598","","",
"Poland","POL","Account at a financial institution (% age 15+) [ts]","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.19429","","","77.86217","","",
"Poland","POL","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.22182989284841","2.27350013966531","2.1021583305018","4.87144747933219","4.74749000594662","2.2","2","1.9","1.7","1.6","1.4","1.3","1.4","1.2","1.3","1.1","1.2","0.99","0.8","0.7","","",
"Poland","POL","Internally displaced persons (number, low estimate)","VC.IDP.TOTL.LE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Internally displaced persons (number, high estimate)","VC.IDP.TOTL.HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30000","","","","","","",
"Poland","POL","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","11.6949152542373","10.8303249097473","12.3581336696091","12.273212379936","11.8929633300297","5.64558285415578","3.58306188925081","4.2713567839196","5.00743678730788","5.60836501901141","6.74937965260546","8.30324909747292","8.33333333333333","6.3105279600125","11.1875","4.04122592893952","3.8340666247643","3.49916686503214","34.9361382419234","21.6790448434709","32.3366782715544","25.7626738447734","39.5904436860068","37.8458969465649","54.72334682861","47.5391384426481","43.0152557583009","36.4018607979961","38.6611210140622","34.7941273871288","32.2983297796731","33.5699637166746","30.9958843421501","28.9370267420684","27.059255700924","26.2267839687195","26.777661311947","25.4207282913165","23.3516255092708","22.3611621919823","",
"Poland","POL","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","57.7372881355932","60.4115523465704","58.4489281210593","57.3959445037353","59.207135777998","66.0219550444328","64.3919652551574","60.1909547738693","60.6395637084779","57.9705323193916","55.0272952853598","50.1850180505415","53.1512944983819","61.8306779131521","57.26875","53.4363981556821","41.7536140791955","48.8526541299691","36.6341096919609","28.588887844317","28.1793979111202","34.9035441902198","26.5104695138825","28.8525763358779","23.5685367264315","27.4531873529111","32.6054442117858","35.7398461263196","27.8603023701063","30.2903190197594","31.272210376688","29.5251616974286","28.9197053503552","28.2309338956516","25.0586340388256","27.0992179863148","27.2432537844624","27.3434173669468","27.6419722291511","26.9124678190511","",
"Poland","POL","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.48409552235111","2.77495427873971","2.44128250020207","2.57589345630237","2.91559258332391","2.61827602739809","2.94865924349733","2.64937748084751","3.36054049635396","3.17171842502751","2.87856402771049","3.07391976770022","3.33711759358771","3.78951552674","3.74076335644489","3.0364712695913","4.31612121929463","6.10116279094308","6.68521585509603","5.8739919959406","6.9527672065996","7.81267405695914","8.69597265946011","8.77709831877351","",
"Poland","POL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268087000","257493000","285125000","418829001","527785003","490635199","641687000","557414000","834121000","906441000","950788000","1336721000","1989231014","2645317949","3225078654","3370639621","5906529876","6626950220","8304806900","8613651552","9559858495","12220494770","14487253098","13444666348","",
"Poland","POL","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","1180000000","1385000000","1586000000","1874000000","2018000000","1913000000","1842000000","1990000000","2017000000","2104000000","2015000000","2216000000","2472000000","3201000000","3200000000","3687000000","4773000000","4201000000","6655000000","10637000000","9766000000","8916000000","10841000000","8384000000","10374000000","9773000000","10029000000","11178000000","15147000000","18118000000","22512000000","31695000000","38147000000","31299000000","35389000000","40920000000","41023000000","44625000000","48108000000","43504000000","",
"Poland","POL","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","25.0847457627118","23.826714801444","24.5271122320303","25.7737459978655","24.0832507433102","22.8437009932044","27.3615635179153","31.0552763819096","29.9950421417947","32.2243346007605","33.9950372208437","37.4097472924188","34.546925566343","27.5851296469853","27.59375","38.5950637374559","51.2465954326419","44.0609378719353","25.1089406461307","41.4308545642568","31.9270939995904","28.9255271422162","19.9243612212896","24.6541030534351","18.7005976479661","21.3445206180293","20.8993917638847","24.4587582751834","31.6696375519905","32.9561761783861","34.7770078180526","35.1443445338381","37.8535664665635","40.7872455989009","45.2909096046794","44.0175953079179","43.5926187748336","44.8380952380952","46.8279703999335","48.204762780434","",
"Poland","POL","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.1165211469","76.9830869985","81.1094308597","88.9211352687","86.1784616001","100","113.3908772459","129.5637733216","169.3435235757","236.3878924503","281.7170806665","348.9445773117","441.4446166064","536.9223264276","429.9674777956","503.11077","594.3713290856","583.9060142659","645.6747830905","682.3777425264","","",
"Poland","POL","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poland","POL","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","4500000","8800000","7800000","6400000","","","","","","","3547670000","3872010000","4927380000","6432020000","8320560000","10282380000","11016680000","12265080000","14113990000","16368260000","17016670000","13267120000","11227250000","11581740000","11777610000","11988748212.69","12073690000","12204841000","13552493000","13532754494.59","13626836526.32","14912548231.97","13186491000","14148641000","17240877000","22898722000","24447732000","25753905000","28243902000","27408030700","31645699000","36092149769","41009141500","53576910600","73781173379","89259511400","110896451400","140416816200","171067869500","136783435700","154766189700","182319561400","179533412000","196946582600","208785640500","","",
"Poland","POL","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","100","100","100","100","","","","","","","62.5393568172913","59.2232458077329","60.8605384606018","57.860827547178","54.8202284461623","55.6142644018214","53.844261610576","55.3758312216471","56.6985664578195","55.5923476288866","51.2887656633172","54.467209160692","48.2971342047251","47.6954240036471","48.0321559297684","48.2703219769225","50.1317327180009","45.905096182736","39.7765414820727","37.644888927096","23.8574683438134","20.3183900578421","7.81919920925135","3.02217011513685","2.77754432097625","2.7119417406788","2.92211154801599","0.425178239960115","0.411076344904468","0.202210806776424","0.299724774605232","0.432939450822658","0.358162338024072","0.361906832306229","0.380941825845234","0.305871044685105","0.150896352306545","0.310486387455921","0.336068837286829","0.151401811878893","0.151208025766884","0.201411136128369","0.206804012614655","0.238926867269237","0.287550857694162","","",
"Poland","POL","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","0","0","0","0","","","","","","","0","0","0","0","0","0.18682445114847","0.187443040916138","0.32971656116389","0.232889494749536","0.192995468058303","0.491576789113264","0.521364094091257","0.188648155158209","0.404602417253366","0.344127543703689","0.175728405429018","0.368528593992392","0.14803961804992","0.175318297526514","0.290001204551661","0.309539348851505","0.434091079420223","0.785212684708919","1.32663624725513","0.53561660465416","0.332284919656215","0.553380575343349","0.375651770090788","0.312587828693075","0.689323877618103","0.50229574641407","0.70494939655419","0.486592483288147","0.37505615338709","0.379677259347751","0.426206343764503","0.425120546282872","0.486804727879879","0.368072217091591","0.619498476305636","0.494199735409006","0.473889248836247","0.516802521415902","0.570066352600931","0.62668270522177","","",
"Poland","POL","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","0","0","0","0","","","","","","","0.880296081653592","1.10769342021327","0.732843823695351","0.712684351105873","1.12864999471189","1.04858991789839","0.309712181891459","0.435708531864448","0.383378477666486","0.633787586463069","0.53482849464672","0.55784525955897","0.581086196530762","0.465560442558717","0.505195875903515","0.616707835787891","0.809495688559173","0.728800973318702","0.574964325751727","0.838185170911405","0.835149235354726","0.407064648744012","0.527456470413547","1.57781938208765","1.48424584201836","0.558109749531","0.331634034600837","0.32121730665699","0.257492750116468","0.386747596572124","0.256041113201513","0.317728419431795","0.144390732978402","0.189721838869896","0.184736027847986","0.348071701409739","0.253112607713253","0.153937402833664","0.231704937437126","0.319223594410708","0.281341293498292","0.346283961606766","0.396031853948167","0.332191141051056","0.310356353266546","","",
"Poland","POL","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","0","0","0","0","","","","","","","1.91054974109768","1.34555437615089","1.20692944323352","1.20988429762345","1.54340573230648","3.0340251965012","3.50123630712701","2.89129789614091","2.41554656054029","2.63687160394569","3.94759961849175","4.48786172130802","6.68525239929635","5.60744758559595","5.25250878573836","4.84891425220919","3.61529905107718","2.99799890879365","3.58295702495474","3.44522827589008","3.26513593953165","2.2972364626595","3.10168944869412","2.11503705550236","1.60497635938125","1.29729073963167","1.13903408299796","1.33116511845485","0.9420369749194","0.872156787244112","0.81899597161687","1.06349967640244","0.776390307999986","0.637035984676578","0.574607544965756","0.774835408745023","0.674712301930339","0.61932318616408","0.729135461642024","0.801942350977224","0.60664425597085","0.592247036855805","0.64413581133299","0.690879670028862","0.878795828873107","","",
"Poland","POL","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","0","0","0","0","","","","","","","0.606031564378874","1.00955317780688","0.747050156472608","0.248910917565555","0.392161104541041","1.01562089710748","1.47875766564882","1.51764195586168","1.13213910453387","1.55551048187162","1.04861879556929","1.45276442815019","1.98285421630408","2.23938717325721","1.92033867652266","1.77789645033069","2.37489118902341","1.49071175937483","1.46319942758871","1.28550205518282","1.29811879649495","1.06817711179303","1.74125170979907","1.23155291027598","1.15252257759278","0.868039709814373","0.698306084179915","0.565087119797949","0.616412703882063","0.523708549407017","0.644694244232052","0.69846194702573","0.618200944294335","0.623843734655354","0.540902552403144","0.381980580727221","0.401098587362012","0.444133841570466","0.60701358065373","0.348972225735663","0.465934647223534","0.503810558201573","0.680037596567262","0.644216560272521","0.579150988115967","","",
