,ID,task,block,trial,fiksacja3,fiksacja3_dur,fiksacja,fiksacja_dur,stimulus_type,stimulus,duration_type,duration,maska,maska_dur,fiksacja2,fiksacja2_dur,beh_response,response_dur,button,accuracy,accuracy_RT,pas_response,pas_response_dur,PAS,PAS_RT
5895,dc1_28,high,2,43,410.3261,2.0103,412.3364,1.7398,mn1,414.0762,dur4,0.1529,414.2291,0.2468,414.4759,2.0103,416.4979,1.5165,54.0,0.0,454.0,418.0262,1.3401,1.0,341.4
5896,dc1_28,high,2,44,419.3663,2.0103,421.3766,1.7398,mc3,423.1164,dur4,0.1529,423.2693,0.2468,423.5161,4.0088,427.5366,1.5165,41.0,1.0,369.7,429.0649,1.3401,3.0,364.1
5897,dc1_28,high,2,45,430.405,1.011,431.416,1.7399,sc3,433.1559,dur1,0.0117,433.1676,0.2469,433.4145,2.0102,435.4365,1.5165,41.0,1.0,599.8,436.9648,1.3401,2.0,816.5
5898,dc1_28,high,2,46,438.3049,3.0095,441.3144,1.7398,mc7,443.0542,dur4,0.1529,443.2071,0.2468,443.4539,6.0073,449.4729,1.5165,44.0,1.0,380.8,451.0012,1.3401,4.0,349.3
5899,dc1_28,high,2,47,452.3413,2.0103,454.3516,1.7398,sn1,456.0914,dur2,0.047,456.1384,0.2469,456.3853,2.0102,458.4073,1.5165,41.0,1.0,409.7,459.9356,1.3401,2.0,449.0
5900,dc1_28,high,2,48,461.2757,1.011,462.2867,1.7399,sn1,464.0266,dur4,0.1528,464.1794,0.2469,464.4263,4.0087,468.4467,1.5165,41.0,1.0,375.6,469.975,1.3402,3.0,527.1
5901,dc1_28,high,2,50,480.2143,2.0102,482.2245,1.7399,sc1,483.9644,dur2,0.047,484.0114,0.2469,484.2583,2.0102,486.2803,1.5165,54.0,0.0,491.6,487.8085,1.3402,2.0,396.0
5902,dc1_28,high,2,51,489.1487,1.011,490.1597,1.7398,mc7,491.8995,dur2,0.0471,491.9466,0.2468,492.1934,2.0103,494.2154,1.5165,44.0,1.0,518.8,495.7437,1.3401,1.0,342.4
5903,dc1_28,high,2,52,497.0838,3.0095,500.0933,1.7399,sc9,501.8332,dur1,0.0117,501.8449,0.2469,502.0918,2.0102,504.1138,1.5165,44.0,1.0,263.4,505.642,1.3402,1.0,274.2
5904,dc1_28,high,2,54,514.8821,3.0095,517.8916,1.7398,sc7,519.6314,dur4,0.1529,519.7843,0.2468,520.0311,4.0087,524.0516,1.5165,44.0,1.0,320.3,525.5799,1.3401,3.0,246.5
5905,dc1_28,high,2,55,526.92,2.0103,528.9303,1.7398,sn7,530.6701,dur3,0.0823,530.7524,0.2469,530.9993,2.0102,533.0213,1.5165,44.0,1.0,1117.4,534.5495,1.3402,2.0,267.3
5906,dc1_28,high,2,57,545.7881,2.0102,547.7983,1.7398,sn9,549.5381,dur3,0.0823,549.6204,0.2469,549.8673,6.0072,555.8863,1.5165,44.0,1.0,420.4,557.4145,1.3402,4.0,280.5
5907,dc1_28,high,2,58,558.7547,2.0102,560.7649,1.7399,mc7,562.5048,dur1,0.0117,562.5165,0.2469,562.7634,2.0102,564.7854,1.5165,51.0,0.0,402.4,566.3136,1.3402,1.0,867.5
5908,dc1_28,high,2,59,567.6538,1.011,568.6648,1.7399,mn3,570.4047,dur2,0.047,570.4517,0.2469,570.6986,2.0102,572.7205,1.5165,54.0,0.0,354.7,574.2488,1.3402,1.0,362.3
5909,dc1_28,high,2,60,575.589,2.0102,577.5992,1.7399,mc1,579.3391,dur1,0.0117,579.3508,0.2469,579.5977,6.0072,585.6166,1.5165,41.0,1.0,637.5,587.1449,1.3402,2.0,280.2
5910,dc1_28,high,2,61,588.4851,1.011,589.4961,1.7398,sn7,591.2359,dur2,0.047,591.2829,0.2469,591.5298,2.0102,593.5518,1.5165,44.0,1.0,379.1,595.0801,1.3401,1.0,251.9
5911,dc1_28,high,2,63,606.3186,1.011,607.3296,1.7398,sn7,609.0694,dur1,0.0118,609.0812,0.2469,609.3281,6.0072,615.347,1.5165,44.0,1.0,576.1,616.8753,1.3401,1.0,253.4
5912,dc1_28,high,2,69,662.7111,1.011,663.7221,1.7398,mc3,665.4619,dur1,0.0118,665.4737,0.2469,665.7206,2.0102,667.7426,1.5165,41.0,1.0,614.0,669.2708,1.3402,2.0,478.2
5913,dc1_28,high,2,70,670.611,1.011,671.622,1.7398,mn1,673.3618,dur1,0.0118,673.3736,0.2468,673.6204,6.0073,679.6394,1.5165,54.0,0.0,351.9,681.1677,1.3401,2.0,476.1
5914,dc1_28,high,2,72,691.407,1.0109,692.4179,1.7399,sn3,694.1578,dur3,0.0823,694.2401,0.2469,694.487,2.0102,696.509,1.5165,41.0,1.0,314.5,698.0372,1.3402,3.0,486.7
5915,dc1_28,high,2,73,699.3774,1.011,700.3884,1.7398,mn1,702.1282,dur3,0.0823,702.2105,0.2469,702.4574,2.0102,704.4794,1.5165,41.0,1.0,312.0,706.0076,1.3402,1.0,730.7
5916,dc1_28,high,2,74,707.3478,2.0102,709.358,1.7399,mn7,711.0979,dur1,0.0117,711.1096,0.2469,711.3565,2.0103,713.3785,1.5165,44.0,1.0,373.7,714.9068,1.3401,1.0,379.1
5917,dc1_28,high,2,75,716.2469,3.0095,719.2564,1.7399,sc9,720.9963,dur3,0.0822,721.0785,0.2469,721.3254,6.0072,727.3444,1.5165,51.0,0.0,384.3,728.8726,1.3402,2.0,301.3
5918,dc1_28,high,2,76,730.2128,2.0102,732.223,1.7399,sn1,733.9629,dur3,0.0823,734.0452,0.2468,734.292,2.0103,736.314,1.5165,54.0,0.0,349.7,737.8423,1.3402,1.0,260.7
5919,dc1_28,high,2,77,739.1825,3.0094,742.1919,1.7399,sn3,743.9318,dur2,0.047,743.9788,0.2469,744.2257,4.0087,748.2462,1.5165,41.0,1.0,495.0,749.7744,1.3402,2.0,556.9
5920,dc1_28,high,2,78,751.1146,1.011,752.1256,1.7398,sn3,753.8654,dur1,0.0118,753.8772,0.2469,754.1241,2.0102,756.1461,1.5164,54.0,0.0,417.4,757.6743,1.3401,1.0,478.4
5921,dc1_28,high,2,79,759.0144,1.0111,760.0255,1.7398,sc1,761.7653,dur1,0.0118,761.7771,0.2468,762.0239,2.0103,764.0459,1.5165,41.0,1.0,488.0,765.5742,1.3402,1.0,317.1
5922,dc1_29,low,1,1,0.0056,1.0109,1.0165,1.7399,mc1,2.7564,dur1,0.0118,2.7682,0.2468,3.015,6.0072,9.034,1.5165,51.0,0.0,519.8,10.5623,1.4812,1.0,333.1
5923,dc1_29,low,1,2,12.0552,3.0095,15.0647,1.7399,mn9,16.8046,dur2,0.047,16.8516,0.2469,17.0985,2.0102,19.1205,1.5165,54.0,0.0,539.5,20.6487,1.446,1.0,365.1
5924,dc1_29,low,1,4,31.1584,2.0102,33.1686,1.7399,sc9,34.9085,dur1,0.0117,34.9202,0.2469,35.1671,2.0102,37.1891,1.5165,44.0,1.0,570.7,38.7174,1.4812,1.0,244.3
5925,dc1_29,low,1,5,40.2103,2.0103,42.2206,1.7398,mn1,43.9604,dur2,0.0471,44.0075,0.2468,44.2543,2.0103,46.2763,1.5165,41.0,1.0,451.3,47.8046,1.4459,1.0,742.7
5926,dc1_29,low,1,6,49.2623,1.011,50.2733,1.7398,mn3,52.0131,dur2,0.0471,52.0602,0.2468,52.307,6.0072,58.326,1.5165,41.0,1.0,578.6,59.8543,1.4459,1.0,247.0
5927,dc1_29,low,1,7,61.312,1.011,62.323,1.7398,sc9,64.0628,dur3,0.0823,64.1451,0.2469,64.392,2.0102,66.414,1.5165,44.0,1.0,377.3,67.9422,1.4107,2.0,383.7
